El,he,0.028840315031266057,2,1.0
pan,bread,6.606934480075965e-05,4,0.8
agua,water,0.0003019951720402016,4,0.8
ser,be,0.001995262314968879,2,0.6666666666666666
mujere,woman,2.818382931264455e-08,6,1.0
Nosotros,us,0.00039810717055349735,7,0.875
beber,drink,1.9054607179632484e-05,5,1.0
Somo,are,1.3803842646028838e-06,4,1.0
hombre,man,0.00044668359215096305,5,0.8333333333333334
los,the,0.0162181009735893,3,1.0
niño,boy,0.00013182567385564074,4,1.0
Ellos,they,0.0006760829753919819,5,1.0
Tú,you,0.00026915348039269167,3,1.0
bebe,baby,1.7378008287493764e-05,2,0.5
venir,come,6.0255958607435806e-05,5,1.0
Yo,i,0.0019498445997580458,2,1.0
bebo,drink,2.2908676527677747e-06,5,1.0
uno,one,0.0009332543007969914,2,0.6666666666666666
persona,person,0.00039810717055349735,1,0.14285714285714285
Hola,hello,0.00017378008287493763,3,0.6
gracia,grace,4.570881896148751e-05,2,0.3333333333333333
bueno,good,0.00045708818961487515,5,1.0
día,day,0.0008317637711026709,2,0.6666666666666666
Adiós,goodbye,2.454708915685029e-05,6,0.8571428571428571
Perdón,sorry,5.62341325190349e-05,5,0.8333333333333334
Por,by,0.01148153621496883,3,1.0
favor,favor,0.0002951209226666387,0,0.0
sentir,feel,7.585775750291836e-05,5,0.8333333333333334
No,do not,0.014791083881682071,4,0.6666666666666666
disculpar,excuse,1.071519305237607e-06,7,0.7777777777777778
cocino,cook,1.1481536214968817e-06,4,0.6666666666666666
cocinar,cook,1.2589254117941661e-05,5,0.7142857142857143
pescado,fish,1.5135612484362071e-05,6,0.8571428571428571
lo,the,0.007943282347242814,3,1.0
sopa,soup,1.2589254117941661e-05,2,0.5
Él,he,0.0005888436553555889,2,1.0
comer,eat,0.00010715193052376059,5,1.0
fruto,fruit,2.39883291901949e-05,2,0.4
queso,cheese,2.1379620895022323e-05,4,0.6666666666666666
jugo,juice,1.0964781961431852e-05,3,0.6
papa,dad,6.606934480075965e-05,3,0.75
comida,food,0.0001202264434617413,4,0.6666666666666666
almuerzo,lunch,9.772372209558111e-06,6,0.75
desayuno,breakfast,1.5135612484362071e-05,8,0.8888888888888888
azúcar,sugar,2.344228815319923e-05,4,0.6666666666666666
sal,salt,3.1622776601683795e-05,1,0.25
Soy,am,0.0005370317963702527,3,1.0
vegetariano,vegetarian,1.8620871366628654e-06,1,0.09090909090909091
perro,dog,6.165950018614822e-05,5,1.0
caballo,horse,3.467368504525317e-05,7,1.0
gato,cat,3.235936569296281e-05,2,0.5
pato,duck,7.943282347242822e-06,4,1.0
elefante,elephant,6.3095734448019305e-06,3,0.375
tortuga,tortoise,6.165950018614822e-06,4,0.5
animal,animal,4.897788193684466e-05,0,0.0
pingüino,penguin,2.1877616239495517e-06,3,0.375
oso,bear,1.288249551693135e-05,4,1.0
pájaro,bird,8.91250938133746e-06,5,0.8333333333333334
leche,milk,4.897788193684466e-05,5,1.0
ratón,mouse,8.128305161640995e-06,5,1.0
mono,monkey,1.230268770812381e-05,3,0.5
león,lion,5.0118723362727245e-05,2,0.5
toro,bull,2.0417379446695274e-05,4,1.0
libro,book,0.0002137962089502232,4,0.8
leer,read,0.00012882495516931337,3,0.75
llave,key,1.5135612484362071e-05,5,1.0
señor,mr,0.0002570395782768865,4,0.8
Mi,my,0.0026302679918953813,1,0.5
Tu,you,0.001584893192461114,2,0.6666666666666666
Nuestro,our,0.0005248074602497728,5,0.7142857142857143
diario,daily,0.0001,4,0.6666666666666666
limón,lemon,8.51138038202376e-06,2,0.4
suyo,yours,4.07380277804113e-05,4,0.8
boto,boto,4.5708818961487516e-07,0,0.0
Qué,what,0.0012589254117941675,4,1.0
cuál,which,0.0001,5,1.0
escribe,writes,5.3703179637025325e-05,5,0.7142857142857143
Cómo,how,0.0005754399373371566,4,1.0
Cuánto,how much,4.3651583224016566e-05,8,1.0
Cuándo,when,5.0118723362727245e-05,5,0.8333333333333334
leo,leo,3.467368504525317e-05,0,0.0
correr,run,3.3113112148259076e-05,5,0.8333333333333334
pescar,fishing,3.890451449942805e-06,6,0.8571428571428571
Hablo,speak,5.62341325190349e-05,5,1.0
español,spanish,0.00020892961308540387,5,0.7142857142857143
oyen,hear,4.265795188015926e-06,4,1.0
Habla,speaks,0.00018197008586099826,6,1.0
poder,power,0.0005128613839913648,1,0.2
Sí,yes,0.0006025595860743575,3,1.0
hablar,talk,0.0002818382931264455,4,0.6666666666666666
inglés,english,0.0001548816618912481,3,0.42857142857142855
