I,yo,0.013182567385564075,2,1.0,nan
am,a.m,0.0006760829753919819,1,0.3333333333333333,nan
a,un,0.023988329190194897,2,1.0,2.893384
boy,chico,0.00015135612484362088,5,1.0,3.67
from,de,0.004365158322401661,4,1.0,4.441998
Mexico,mejico,5.3703179637025325e-05,1,0.16666666666666666,nan
My,mi,0.003981071705534973,1,0.5,2.715564
name,nombre,0.0004265795188015926,3,0.5,3.68
is,es,0.011748975549395297,1,0.5,nan
Pedro,pedro,6.165950018614822e-06,0,0.0,nan
She,ella,0.001737800828749376,4,1.0,3.568124
girl,nina,0.0002454708915685031,3,0.75,4.0
he,el,0.005128613839913648,2,1.0,3.813235
need,necesitar,0.0008912509381337459,6,0.6666666666666666,3.56
taxi,taxi,1.3489628825916533e-05,0,0.0,7.58
Where,donde,0.0010471285480508996,4,0.8,4.090317
have,tener,0.005248074602497728,4,0.8,3.72
reservation,reserva,8.31763771102671e-06,4,0.36363636363636365,11.17
fine,multa,0.00016595869074375615,5,1.0,7.44
When,cuando,0.002454708915685031,5,0.8333333333333334,4.239515
newspaper,periodico,4.677351412871981e-05,8,0.8888888888888888,5.78
Stop,detener,0.0003019951720402016,6,0.8571428571428571,2.89
now,ahora,0.0015135612484362087,4,0.8,5.25193
room,habitacion,0.00022908676527677723,9,0.9,4.22
today,hoy,0.0003715352290971724,3,0.6,4.772365
woman,mujer,0.0002137962089502232,5,1.0,4.95
man,hombre,0.0006918309709189362,5,0.8333333333333334,3.11
child,nino,0.0002137962089502232,4,0.8,5.14536
Good,bueno,0.0013489628825916532,5,1.0,3.55
morning,manana,0.000223872113856834,4,0.5714285714285714,4.0
and,y,0.026302679918953815,3,1.0,4.569882
night,noche,0.0004265795188015926,3,0.6,3.61
Hello,hola,4.677351412871981e-05,3,0.6,3.75995
thanks,gracias,0.0003311311214825911,5,0.7142857142857143,3.53
How,como,0.0016982436524617442,3,0.75,5.3585
are,son,0.005495408738576248,3,1.0,nan
you,tu,0.009549925860214359,2,0.6666666666666666,4.346085
Please,por favor,0.0004897788193684461,7,0.7777777777777778,3.482868
sorry,lo siento,0.00017782794100389227,8,0.8888888888888888,3.44
Andrea,andrea,8.31763771102671e-06,0,0.0,nan
Bye,adios,2.754228703338169e-05,5,1.0,3.280385
table,mesa,0.0001202264434617413,5,1.0,4.39
Welcome,bienvenido,9.549925860214369e-05,9,0.9,4.06
to,a,0.026915348039269153,2,1.0,3.951776
Yes,si,0.0003235936569296281,3,1.0,2.310598
excuse,excusa,3.467368504525317e-05,1,0.16666666666666666,6.33
me,yo,0.00316227766016838,2,1.0,3.280385
drinking,bebida,5.2480746024977226e-05,7,0.875,nan
water,agua,0.0003311311214825911,4,0.8,2.37
Eat,comer,0.00013489628825916533,5,1.0,2.78
more,mas,0.0023442288153199225,3,0.75,3.781264
Check,comprobar,0.00020892961308540387,8,0.8888888888888888,5.53
What,que,0.0025703957827688645,4,1.0,3.855863
day,dia,0.0008709635899560804,2,0.6666666666666666,3.5
Boys,chicos,0.00011481536214968831,5,0.8333333333333334,nan
live,vivir,0.0003548133892335753,3,0.6,6.1
in,en,0.019498445997580455,1,0.5,3.685351
mother,madre,0.00019498445997580456,4,0.6666666666666666,2.63
father,padre,0.00020417379446695296,4,0.6666666666666666,4.11
Girls,chicas,0.0001445439770745928,4,0.6666666666666666,nan
brother,hermano,0.00013182567385564074,7,1.0,3.63
husband,marido,0.0001,7,1.0,5.53
One,uno,0.003090295432513592,2,0.6666666666666666,3.2271
two,dos,0.0013489628825916532,3,1.0,4.239515
son,hijo,0.00019952623149688788,4,1.0,3.78
